GENRE_ID,GENRE_NAME
0,ACTION
1,ADVENTURE
2,ANIMATION
3,BIOGRAPHY
4,COMEDY
5,CRIME
6,DRAMA
7,FAMILY
8,FANTASY
9,HISTORY
10,HORROR
11,MUSIC
12,MUSICAL
13,MYSTERY
14,ROMANCE
15,SCI-FI
16,SPORT
17,THRILLER
18,WAR
19,WESTERN
